Trajectory info:
Feasible path start time since start: 146.909
Feasbile path start time from now:  0.091898
fpg planner time start 148.8
fpg planner time end 167.857
planner index start 126
planner index finish 2929
time planner start:148.8
time planner finish:168.3
Final Time Difference: -0.443149
---
x_out,y_out,time,velocity,acceleration,yaw_velocity,yaw_angle
-3.69333,4.45,146.909,0.1,0,0,-0.0117596
-3.68664,4.44992,146.961,0.161424,1.2,0,-0.0117596
-3.67995,4.44984,146.997,0.205221,1.2,0,-0.0117596
-3.67326,4.44976,147.027,0.241191,1.2,0,-0.0117596
-3.66657,4.44969,147.053,0.272454,1.2,0,-0.0117596
-3.65988,4.44961,147.077,0.300481,1.2,0,-0.0117596
-3.65319,4.44953,147.098,0.326108,1.2,0,-0.0117596
-3.6465,4.44945,147.118,0.349863,1.2,0,-0.0117596
-3.63981,4.44937,147.136,0.372105,1.2,0,-0.0117596
-3.63312,4.44929,147.154,0.39309,1.2,0,-0.0117596
-3.62643,4.44921,147.17,0.41301,1.2,0,-0.0117596
-3.61974,4.44913,147.186,0.432013,1.2,0,-0.0117596
-3.61305,4.44906,147.201,0.450214,1.2,0,-0.0117596
-3.60636,4.44898,147.216,0.467708,1.2,0,-0.0117596
-3.59967,4.4489,147.23,0.48457,1.2,0,-0.0117596
-3.59298,4.44882,147.244,0.500865,1.2,0,-0.0117596
-3.58629,4.44874,147.257,0.516647,1.2,0,-0.0117596
-3.5796,4.44866,147.269,0.53196,1.2,0,-0.0117596
-3.57291,4.44858,147.282,0.546845,1.2,0,-0.0117596
-3.56622,4.4485,147.294,0.561335,1.2,0,-0.0117596
-3.55953,4.44843,147.306,0.575461,1.2,0,-0.0117596
-3.55284,4.44835,147.317,0.589248,1.2,0,-0.0117596
-3.54615,4.44827,147.328,0.602719,1.2,0,-0.0117596
-3.53946,4.44819,147.339,0.615896,1.2,0,-0.0117596
-3.53277,4.44811,147.35,0.628797,1.2,0,-0.0117596
-3.52608,4.44803,147.361,0.641439,1.2,0,-0.0117596
-3.51939,4.44795,147.371,0.653836,1.2,0,-0.0117596
-3.5127,4.44788,147.381,0.666002,1.2,0,-0.0117596
-3.50601,4.4478,147.391,0.677951,1.2,0,-0.0117596
-3.49932,4.44772,147.401,0.689692,1.2,0,-0.0117596
-3.49263,4.44764,147.411,0.701236,1.2,0,-0.0117596
-3.48594,4.44756,147.42,0.712594,1.2,0,-0.0117596
-3.47924,4.44748,147.429,0.723773,1.2,0,-0.0117596
-3.47255,4.4474,147.438,0.734783,1.2,0,-0.0117596
-3.46586,4.44732,147.448,0.745629,1.2,0,-0.0117596
-3.45917,4.44725,147.456,0.756321,1.2,0,-0.0117596
-3.45248,4.44717,147.465,0.766863,1.2,0,-0.0117596
-3.44579,4.44709,147.474,0.777262,1.2,0,-0.0117596
-3.4391,4.44701,147.482,0.787524,1.2,0,-0.0117596
-3.43241,4.44693,147.491,0.797654,1.2,0,-0.0117596
-3.42572,4.44685,147.499,0.807657,1.2,0,-0.0117596
-3.41903,4.44677,147.507,0.817537,1.2,0,-0.0117596
-3.41234,4.4467,147.516,0.8273,1.2,0,-0.0117596
-3.40565,4.44662,147.524,0.836949,1.2,0,-0.0117596
-3.39896,4.44654,147.532,0.846487,1.2,0,-0.0117596
-3.39227,4.44646,147.539,0.85592,1.2,0,-0.0117596
-3.38558,4.44638,147.547,0.865249,1.2,0,-0.0117596
-3.37889,4.4463,147.555,0.874479,1.2,0,-0.0117596
-3.3722,4.44622,147.563,0.883613,1.2,0,-0.0117596
-3.36551,4.44614,147.57,0.892653,1.2,0,-0.0117596
-3.35882,4.44607,147.578,0.901603,1.2,0,-0.0117596
-3.35213,4.44599,147.585,0.910464,1.2,0,-0.0117596
-3.34544,4.44591,147.592,0.91924,1.2,0,-0.0117596
-3.33875,4.44583,147.599,0.927933,1.2,0,-0.0117596
-3.33206,4.44575,147.607,0.936546,1.2,0,-0.0117596
-3.32537,4.44567,147.614,0.94508,1.2,0,-0.0117596
-3.31868,4.44559,147.621,0.953537,1.2,0,-0.0117596
-3.31199,4.44552,147.628,0.961921,1.2,0,-0.0117596
-3.3053,4.44544,147.635,0.970231,1.2,0,-0.0117596
-3.29861,4.44536,147.642,0.978472,1.2,0,-0.0117596
-3.29192,4.44528,147.648,0.986643,1.2,0,-0.0117596
-3.28523,4.4452,147.655,0.994747,1.2,0,-0.0117596
-3.27854,4.44512,147.662,1.00279,1.2,0,-0.0117596
-3.27185,4.44504,147.669,0.997788,-0.747276,0,-0.0117596
-3.26516,4.44496,147.675,0.989708,-1.2,0,-0.0117596
-3.25847,4.44489,147.682,0.981562,-1.2,0,-0.0117596
-3.25178,4.44481,147.689,0.973348,-1.2,0,-0.0117596
-3.24509,4.44473,147.696,0.965064,-1.2,0,-0.0117596
-3.2384,4.44465,147.703,0.956709,-1.2,0,-0.0117596
-3.23171,4.44457,147.71,0.948279,-1.2,0,-0.0117596
-3.22501,4.44449,147.717,0.939774,-1.2,0,-0.0117596
-3.21832,4.44441,147.724,0.931192,-1.2,0,-0.0117596
-3.21163,4.44433,147.731,0.922529,-1.2,0,-0.0117596
-3.20494,4.44426,147.739,0.913785,-1.2,0,-0.0117596
-3.19825,4.44418,147.746,0.904956,-1.2,0,-0.0117596
-3.19156,4.4441,147.753,0.89604,-1.2,0,-0.0117596
-3.18487,4.44402,147.761,0.887034,-1.2,0,-0.0117596
-3.17818,4.44394,147.768,0.877936,-1.2,0,-0.0117596
-3.17149,4.44386,147.776,0.868743,-1.2,0,-0.0117596
-3.1648,4.44378,147.784,0.859451,-1.2,0,-0.0117596
-3.15811,4.44371,147.792,0.850058,-1.2,0,-0.0117596
-3.15142,4.44363,147.8,0.84056,-1.2,0,-0.0117596
-3.14473,4.44355,147.808,0.830953,-1.2,0,-0.0117596
-3.13804,4.44347,147.816,0.821234,-1.2,0,-0.0117596
-3.13135,4.44339,147.824,0.811398,-1.2,0,-0.0117596
-3.12466,4.44331,147.832,0.801442,-1.2,0,-0.0117596
-3.11797,4.44323,147.841,0.791361,-1.2,0,-0.0117596
-3.11128,4.44315,147.849,0.781149,-1.2,0,-0.0117596
-3.10459,4.44308,147.858,0.770802,-1.2,0,-0.0117596
-3.0979,4.443,147.866,0.760315,-1.2,0,-0.0117596
-3.09121,4.44292,147.875,0.749681,-1.2,0,-0.0117596
-3.08452,4.44284,147.884,0.738893,-1.2,0,-0.0117596
-3.07783,4.44276,147.893,0.727946,-1.2,0,-0.0117596
-3.07114,4.44268,147.903,0.716832,-1.2,0,-0.0117596
-3.06445,4.4426,147.912,0.705542,-1.2,0,-0.0117596
-3.05776,4.44253,147.922,0.694069,-1.2,0,-0.0117596
-3.05107,4.44245,147.931,0.682403,-1.2,0,-0.0117596
-3.04438,4.44237,147.941,0.670535,-1.2,0,-0.0117596
-3.03769,4.44229,147.951,0.658452,-1.2,0,-0.0117596
-3.031,4.44221,147.962,0.646143,-1.2,0,-0.0117596
-3.02431,4.44213,147.972,0.633596,-1.2,0,-0.0117596
-3.01762,4.44205,147.983,0.620794,-1.2,0,-0.0117596
-3.01093,4.44197,147.994,0.607724,-1.2,0,-0.0117596
-3.00424,4.4419,148.005,0.594365,-1.2,0,-0.0117596
-2.99755,4.44182,148.016,0.5807,-1.2,0,-0.0117596
-2.99086,4.44174,148.028,0.566705,-1.2,0,-0.0117596
-2.98417,4.44166,148.04,0.552356,-1.2,0,-0.0117596
-2.97748,4.44158,148.052,0.537624,-1.2,0,-0.0117596
-2.97078,4.4415,148.065,0.522476,-1.2,0,-0.0117596
-2.96409,4.44142,148.078,0.506877,-1.2,0,-0.0117596
-2.9574,4.44135,148.091,0.490781,-1.2,0,-0.0117596
-2.95071,4.44127,148.105,0.47414,-1.2,0,-0.0117596
-2.94402,4.44119,148.119,0.456892,-1.2,0,-0.0117596
-2.93733,4.44111,148.134,0.438968,-1.2,0,-0.0117596
-2.93064,4.44103,148.15,0.42028,-1.2,0,-0.0117596
-2.92395,4.44095,148.166,0.400721,-1.2,0,-0.0117596
-2.91726,4.44087,148.183,0.380157,-1.2,0,-0.0117596
-2.91057,4.44079,148.201,0.358416,-1.2,0,-0.0117596
-2.90388,4.44072,148.221,0.335267,-1.2,0,-0.0117596
-2.89719,4.44064,148.241,0.310397,-1.2,0,-0.0117596
-2.8905,4.44056,148.264,0.283353,-1.2,0,-0.0117596
-2.88381,4.44048,148.289,0.253438,-1.2,0,-0.0117596
-2.87712,4.4404,148.317,0.219484,-1.2,0,-0.0117596
-2.87043,4.44032,148.351,0.179208,-1.2,0,-0.0117596
-2.86374,4.44024,148.394,0.126719,-1.2,0,-0.0117596
-2.85705,4.44017,148.5,0,-1.2,0,-0.0117596
-2.85036,4.44009,148.8,0,0,0,-0.0117596
-2.84367,4.44001,148.906,0.126719,1.2,0,-0.0117596
-2.83698,4.43993,148.949,0.179208,1.2,0,-0.0117596
-2.83029,4.43985,148.983,0.219484,1.2,0,-0.0117596
-2.8236,4.43977,149.011,0.253438,1.2,0,-0.0117596
-2.81691,4.43969,149.036,0.283353,1.2,0,-0.0117596
-2.81022,4.43961,149.059,0.310397,1.2,0,-0.0117596
-2.80353,4.43954,149.079,0.335267,1.2,0,-0.0117596
-2.79684,4.43946,149.099,0.358416,1.2,0,-0.0117596
-2.79015,4.43938,149.117,0.380157,1.2,0,-0.0117596
-2.78346,4.4393,149.134,0.400721,1.2,0,-0.0117596
-2.77677,4.43922,149.15,0.42028,1.2,0,-0.0117596
-2.77008,4.43914,149.166,0.438968,1.2,0,-0.0117596
-2.76339,4.43906,149.181,0.456892,1.2,0,-0.0117596
-2.7567,4.43898,149.195,0.47414,1.2,0,-0.0117596
-2.75001,4.43891,149.209,0.490781,1.2,0,-0.0117596
-2.74332,4.43883,149.222,0.506877,1.2,0,-0.0117596
-2.73663,4.43875,149.235,0.522476,1.2,0,-0.0117596
-2.72994,4.43867,149.248,0.537624,1.2,0,-0.0117596
-2.72325,4.43859,149.26,0.552356,1.2,0,-0.0117596
-2.71655,4.43851,149.272,0.566705,1.2,0,-0.0117596
-2.70986,4.43843,149.284,0.5807,1.2,0,-0.0117596
-2.70317,4.43836,149.295,0.594365,1.2,0,-0.0117596
-2.69648,4.43828,149.306,0.607724,1.2,0,-0.0117596
-2.68979,4.4382,149.317,0.620794,1.2,0,-0.0117596
-2.6831,4.43812,149.328,0.633596,1.2,0,-0.0117596
-2.67641,4.43804,149.338,0.646143,1.2,0,-0.0117596
-2.66972,4.43796,149.349,0.658452,1.2,0,-0.0117596
-2.66303,4.43788,149.359,0.670535,1.2,0,-0.0117596
-2.65634,4.4378,149.369,0.682403,1.2,0,-0.0117596
-2.64965,4.43773,149.378,0.694069,1.2,0,-0.0117596
-2.64296,4.43765,149.388,0.705542,1.2,0,-0.0117596
-2.63627,4.43757,149.397,0.716832,1.2,0,-0.0117596
-2.62958,4.43749,149.407,0.727946,1.2,0,-0.0117596
-2.62289,4.43741,149.416,0.738893,1.2,0,-0.0117596
-2.6162,4.43733,149.425,0.749681,1.2,0,-0.0117596
-2.60951,4.43725,149.434,0.760315,1.2,0,-0.0117596
-2.60282,4.43718,149.442,0.770802,1.2,0,-0.0117596
-2.59613,4.4371,149.451,0.781149,1.2,0,-0.0117596
-2.58944,4.43702,149.459,0.791361,1.2,0,-0.0117596
-2.58275,4.43694,149.468,0.801442,1.2,0,-0.0117596
-2.57606,4.43686,149.476,0.811398,1.2,0,-0.0117596
-2.56937,4.43678,149.484,0.821234,1.2,0,-0.0117596
-2.56268,4.4367,149.492,0.830953,1.2,0,-0.0117596
-2.55599,4.43662,149.5,0.84056,1.2,0,-0.0117596
-2.5493,4.43655,149.508,0.850058,1.2,0,-0.0117596
-2.54261,4.43647,149.516,0.859451,1.2,0,-0.0117596
-2.53592,4.43639,149.524,0.868743,1.2,0,-0.0117596
-2.52923,4.43631,149.532,0.877936,1.2,0,-0.0117596
-2.52254,4.43623,149.539,0.887034,1.2,0,-0.0117596
-2.51585,4.43615,149.547,0.89604,1.2,0,-0.0117596
-2.50916,4.43607,149.554,0.904956,1.2,0,-0.0117596
-2.50247,4.436,149.561,0.913785,1.2,0,-0.0117596
-2.49578,4.43592,149.569,0.922529,1.2,0,-0.0117596
-2.48909,4.43584,149.576,0.931192,1.2,0,-0.0117596
-2.4824,4.43576,149.583,0.939774,1.2,0,-0.0117596
-2.47571,4.43568,149.59,0.948279,1.2,0,-0.0117596
-2.46902,4.4356,149.597,0.956709,1.2,0,-0.0117596
-2.46232,4.43552,149.604,0.965064,1.2,0,-0.0117596
-2.45563,4.43544,149.611,0.973348,1.2,0,-0.0117596
-2.44894,4.43537,149.618,0.981562,1.2,0,-0.0117596
-2.44225,4.43529,149.625,0.989708,1.2,0,-0.0117596
-2.43556,4.43521,149.631,0.997788,1.2,0,-0.0117596
-2.42887,4.43513,149.638,1.0058,1.2,0,-0.0117596
-2.42218,4.43505,149.645,1.01375,1.2,0,-0.0117596
-2.41549,4.43497,149.651,1.02164,1.2,0,-0.0117596
-2.4088,4.43489,149.658,1.02947,1.20001,0,-0.0117596
-2.40211,4.43481,149.664,1.02947,0,0,-0.0117596
-2.39542,4.43474,149.671,1.02164,-1.20001,0,-0.0117596
-2.38873,4.43466,149.677,1.01375,-1.2,0,-0.0117596
-2.38204,4.43458,149.684,1.0058,-1.2,0,-0.0117596
-2.37535,4.4345,149.691,0.997788,-1.2,0,-0.0117596
-2.36866,4.43442,149.698,0.989708,-1.2,0,-0.0117596
-2.36197,4.43434,149.704,0.981562,-1.2,0,-0.0117596
-2.35528,4.43426,149.711,0.973348,-1.2,0,-0.0117596
-2.34859,4.43419,149.718,0.965064,-1.2,0,-0.0117596
-2.3419,4.43411,149.725,0.956709,-1.2,0,-0.0117596
-2.33521,4.43403,149.732,0.948279,-1.2,0,-0.0117596
-2.32852,4.43395,149.739,0.939774,-1.2,0,-0.0117596
-2.32183,4.43387,149.746,0.931192,-1.2,0,-0.0117596
-2.31514,4.43379,149.754,0.922529,-1.2,0,-0.0117596
-2.30845,4.43371,149.761,0.913785,-1.2,0,-0.0117596
-2.30176,4.43363,149.768,0.904956,-1.2,0,-0.0117596
-2.29507,4.43356,149.776,0.89604,-1.2,0,-0.0117596
-2.28838,4.43348,149.783,0.887034,-1.2,0,-0.0117596
-2.28169,4.4334,149.791,0.877936,-1.2,0,-0.0117596
-2.275,4.43332,149.798,0.868743,-1.2,0,-0.0117596
-2.26831,4.43324,149.806,0.859451,-1.2,0,-0.0117596
-2.26162,4.43316,149.814,0.850058,-1.2,0,-0.0117596
-2.25493,4.43308,149.822,0.84056,-1.2,0,-0.0117596
-2.24824,4.43301,149.83,0.830953,-1.2,0,-0.0117596
-2.24155,4.43293,149.838,0.821234,-1.2,0,-0.0117596
-2.23486,4.43285,149.846,0.811398,-1.2,0,-0.0117596
-2.22817,4.43277,149.854,0.801442,-1.2,0,-0.0117596
-2.22148,4.43269,149.863,0.791361,-1.2,0,-0.0117596
-2.21479,4.43261,149.871,0.781149,-1.2,0,-0.0117596
-2.20809,4.43253,149.88,0.770802,-1.2,0,-0.0117596
-2.2014,4.43245,149.889,0.760315,-1.2,0,-0.0117596
-2.19471,4.43238,149.898,0.749681,-1.2,0,-0.0117596
-2.18802,4.4323,149.907,0.738893,-1.2,0,-0.0117596
-2.18133,4.43222,149.916,0.727946,-1.2,0,-0.0117596
-2.17464,4.43214,149.925,0.716832,-1.2,0,-0.0117596
-2.16795,4.43206,149.934,0.705542,-1.2,0,-0.0117596
-2.16126,4.43198,149.944,0.694069,-1.2,0,-0.0117596
-2.15457,4.4319,149.954,0.682403,-1.2,0,-0.0117596
-2.14788,4.43183,149.964,0.670535,-1.2,0,-0.0117596
-2.14119,4.43175,149.974,0.658452,-1.2,0,-0.0117596
-2.1345,4.43167,149.984,0.646143,-1.2,0,-0.0117596
-2.12781,4.43159,149.994,0.633596,-1.2,0,-0.0117596
-2.12112,4.43151,150.005,0.620794,-1.2,0,-0.0117596
-2.11443,4.43143,150.016,0.607724,-1.2,0,-0.0117596
-2.10774,4.43135,150.027,0.594365,-1.2,0,-0.0117596
-2.10105,4.43127,150.038,0.5807,-1.2,0,-0.0117596
-2.09436,4.4312,150.05,0.566705,-1.2,0,-0.0117596
-2.08767,4.43112,150.062,0.552356,-1.2,0,-0.0117596
-2.08098,4.43104,150.074,0.537624,-1.2,0,-0.0117596
-2.07429,4.43096,150.087,0.522476,-1.2,0,-0.0117596
-2.0676,4.43088,150.1,0.506877,-1.2,0,-0.0117596
-2.06091,4.4308,150.113,0.490781,-1.2,0,-0.0117596
-2.05422,4.43072,150.127,0.47414,-1.2,0,-0.0117596
-2.04753,4.43064,150.142,0.456892,-1.2,0,-0.0117596
-2.04084,4.43057,150.156,0.438968,-1.2,0,-0.0117596
-2.03415,4.43049,150.172,0.42028,-1.2,0,-0.0117596
-2.02746,4.43041,150.188,0.400721,-1.2,0,-0.0117596
-2.02077,4.43033,150.205,0.380157,-1.2,0,-0.0117596
-2.01408,4.43025,150.224,0.358416,-1.2,0,-0.0117596
-2.00739,4.43017,150.243,0.335267,-1.2,0,-0.0117596
-2.0007,4.43009,150.264,0.310397,-1.2,0,-0.0117596
-1.99401,4.43002,150.286,0.283353,-1.2,0,-0.0117596
-1.98732,4.42994,150.311,0.253438,-1.2,0,-0.0117596
-1.98063,4.42986,150.339,0.219484,-1.2,0,-0.0117596
