Trajectory info:
Feasible path start time since start: 31.717
Feasbile path start time from now:  0.593503
fpg planner time start 33
fpg planner time end 45.4817
planner index start 134
planner index finish 2099
time planner start:33
time planner finish:45.3
Final Time Difference: 0.181709
---
x_out,y_out,time,velocity,acceleration,yaw_velocity,yaw_angle
-0.0933333,1.3,31.717,0.1,0,0,-0.00114777
-0.0864785,1.29999,31.7692,0.16264,1.2,0,-0.00114777
-0.0796237,1.29998,31.8063,0.207131,1.2,0,-0.00114777
-0.0727688,1.29998,31.8367,0.243629,1.2,0,-0.00114777
-0.065914,1.29997,31.8631,0.27533,1.2,0,-0.00114777
-0.0590591,1.29996,31.8868,0.30374,1.2,0,-0.00114777
-0.0522043,1.29995,31.9084,0.329712,1.2,0,-0.00114777
-0.0453495,1.29994,31.9285,0.353782,1.2,0,-0.00114777
-0.0384946,1.29994,31.9473,0.376315,1.2,0,-0.00114777
-0.0316398,1.29993,31.965,0.397573,1.2,0,-0.00114777
-0.0247849,1.29992,31.9818,0.417751,1.2,0,-0.00114777
-0.0179301,1.29991,31.9978,0.436999,1.2,0,-0.00114777
-0.0110753,1.29991,32.0132,0.455433,1.2,0,-0.00114777
-0.00422043,1.2999,32.028,0.47315,1.2,0,-0.00114777
0.00263441,1.29989,32.0422,0.490227,1.2,0,-0.00114777
0.00948925,1.29988,32.0559,0.506729,1.2,0,-0.00114777
0.0163441,1.29987,32.0693,0.52271,1.2,0,-0.00114777
0.0231989,1.29987,32.0822,0.538217,1.2,0,-0.00114777
0.0300538,1.29986,32.0947,0.553289,1.2,0,-0.00114777
0.0369086,1.29985,32.107,0.567962,1.2,0,-0.00114777
0.0437634,1.29984,32.1189,0.582265,1.2,0,-0.00114777
0.0506183,1.29983,32.1305,0.596225,1.2,0,-0.00114777
0.0574731,1.29983,32.1419,0.609865,1.2,0,-0.00114777
0.064328,1.29982,32.153,0.623207,1.2,0,-0.00114777
0.0711828,1.29981,32.1639,0.63627,1.2,0,-0.00114777
0.0780376,1.2998,32.1746,0.649069,1.2,0,-0.00114777
0.0848925,1.2998,32.185,0.661621,1.2,0,-0.00114777
0.0917473,1.29979,32.1953,0.673939,1.2,0,-0.00114777
0.0986022,1.29978,32.2054,0.686036,1.2,0,-0.00114777
0.105457,1.29977,32.2153,0.697923,1.2,0,-0.00114777
0.112312,1.29976,32.225,0.709612,1.2,0,-0.00114777
