Trajectory info:
Feasible path start time since start: 77.1579
Feasbile path start time from now:  0.556071
fpg planner time start 78.3
fpg planner time end 92.8849
planner index start 140
planner index finish 2233
time planner start:78.3
time planner finish:92.1
Final Time Difference: 0.784911
---
x_out,y_out,time,velocity,acceleration,yaw_velocity,yaw_angle
-3.69333,-3.8,77.1579,0.1,0,0,-0.115523
-3.68659,-3.80078,77.2097,0.162165,1.2,0,-0.115523
-3.67984,-3.80157,77.2466,0.206385,1.2,0,-0.115523
-3.6731,-3.80235,77.2768,0.242677,1.2,0,-0.115523
-3.66635,-3.80313,77.3031,0.274208,1.2,0,-0.115523
-3.65961,-3.80391,77.3267,0.302469,1.2,0,-0.115523
-3.65286,-3.8047,77.3482,0.328306,1.2,0,-0.115523
-3.64612,-3.80548,77.3681,0.352253,1.2,0,-0.115523
-3.63937,-3.80626,77.3868,0.374673,1.2,0,-0.115523
-3.63263,-3.80704,77.4045,0.395824,1.2,0,-0.115523
-3.62588,-3.80783,77.4212,0.415902,1.2,0,-0.115523
-3.61913,-3.80861,77.4371,0.435054,1.2,0,-0.115523
-3.61239,-3.80939,77.4524,0.453398,1.2,0,-0.115523
-3.60564,-3.81018,77.4671,0.471027,1.2,0,-0.115523
-3.5989,-3.81096,77.4813,0.488021,1.2,0,-0.115523
-3.59215,-3.81174,77.495,0.504442,1.2,0,-0.115523
-3.58541,-3.81252,77.5082,0.520345,1.2,0,-0.115523
-3.57866,-3.81331,77.5211,0.535777,1.2,0,-0.115523
-3.57192,-3.81409,77.5336,0.550776,1.2,0,-0.115523
-3.56517,-3.81487,77.5458,0.565377,1.2,0,-0.115523
-3.55843,-3.81565,77.5576,0.579611,1.2,0,-0.115523
-3.55168,-3.81644,77.5692,0.593503,1.2,0,-0.115523
-3.54494,-3.81722,77.5805,0.607078,1.2,0,-0.115523
-3.53819,-3.818,77.5916,0.620356,1.2,0,-0.115523
-3.53145,-3.81879,77.6024,0.633355,1.2,0,-0.115523
-3.5247,-3.81957,77.613,0.646093,1.2,0,-0.115523
-3.51795,-3.82035,77.6234,0.658584,1.2,0,-0.115523
-3.51121,-3.82113,77.6336,0.670843,1.2,0,-0.115523
-3.50446,-3.82192,77.6437,0.682882,1.2,0,-0.115523
-3.49772,-3.8227,77.6535,0.694713,1.2,0,-0.115523
-3.49097,-3.82348,77.6632,0.706345,1.2,0,-0.115523
-3.48423,-3.82426,77.6728,0.717789,1.2,0,-0.115523
-3.47748,-3.82505,77.6821,0.729053,1.2,0,-0.115523
-3.47074,-3.82583,77.6914,0.740146,1.2,0,-0.115523
-3.46399,-3.82661,77.7005,0.751074,1.2,0,-0.115523
-3.45725,-3.8274,77.7095,0.761847,1.2,0,-0.115523
-3.4505,-3.82818,77.7183,0.772469,1.2,0,-0.115523
-3.44376,-3.82896,77.7271,0.782947,1.2,0,-0.115523
-3.43701,-3.82974,77.7357,0.793286,1.2,0,-0.115523
-3.43027,-3.83053,77.7442,0.803492,1.2,0,-0.115523
-3.42352,-3.83131,77.7526,0.813571,1.2,0,-0.115523
-3.41677,-3.83209,77.7609,0.823526,1.2,0,-0.115523
-3.41003,-3.83287,77.7691,0.833362,1.2,0,-0.115523
-3.40328,-3.83366,77.7772,0.843084,1.2,0,-0.115523
-3.39654,-3.83444,77.7852,0.852694,1.2,0,-0.115523
-3.38979,-3.83522,77.7931,0.862198,1.2,0,-0.115523
-3.38305,-3.83601,77.8009,0.871598,1.2,0,-0.115523
-3.3763,-3.83679,77.8087,0.880897,1.2,0,-0.115523
-3.36956,-3.83757,77.8164,0.8901,1.2,0,-0.115523
-3.36281,-3.83835,77.8239,0.899208,1.2,0,-0.115523
-3.35607,-3.83914,77.8315,0.908225,1.2,0,-0.115523
