Trajectory info:
Feasible path start time since start: 143.909
Feasbile path start time from now:  -1.03013
fpg planner time start 147.3
fpg planner time end 166.376
planner index start 126
planner index finish 2929
time planner start:147.3
time planner finish:168.3
Final Time Difference: -1.924
---
x_out,y_out,time,velocity,acceleration,yaw_velocity,yaw_angle
-3.69333,4.45,143.909,0.1,0,0,-0.0117596
-3.68664,4.44992,143.961,0.161424,1.2,0,-0.0117596
-3.67995,4.44984,143.997,0.205221,1.2,0,-0.0117596
-3.67326,4.44976,144.027,0.241191,1.2,0,-0.0117596
-3.66657,4.44969,144.053,0.272454,1.2,0,-0.0117596
-3.65988,4.44961,144.077,0.300481,1.2,0,-0.0117596
-3.65319,4.44953,144.098,0.326108,1.2,0,-0.0117596
-3.6465,4.44945,144.118,0.349863,1.2,0,-0.0117596
-3.63981,4.44937,144.136,0.372105,1.2,0,-0.0117596
-3.63312,4.44929,144.154,0.39309,1.2,0,-0.0117596
-3.62643,4.44921,144.17,0.41301,1.2,0,-0.0117596
-3.61974,4.44913,144.186,0.432013,1.2,0,-0.0117596
-3.61305,4.44906,144.201,0.450214,1.2,0,-0.0117596
-3.60636,4.44898,144.216,0.467708,1.2,0,-0.0117596
-3.59967,4.4489,144.23,0.48457,1.2,0,-0.0117596
-3.59298,4.44882,144.244,0.500865,1.2,0,-0.0117596
-3.58629,4.44874,144.257,0.516647,1.2,0,-0.0117596
-3.5796,4.44866,144.269,0.53196,1.2,0,-0.0117596
-3.57291,4.44858,144.282,0.546845,1.2,0,-0.0117596
-3.56622,4.4485,144.294,0.561335,1.2,0,-0.0117596
-3.55953,4.44843,144.306,0.575461,1.2,0,-0.0117596
-3.55284,4.44835,144.317,0.589248,1.2,0,-0.0117596
-3.54615,4.44827,144.328,0.602719,1.2,0,-0.0117596
-3.53946,4.44819,144.339,0.615896,1.2,0,-0.0117596
-3.53277,4.44811,144.35,0.628797,1.2,0,-0.0117596
-3.52608,4.44803,144.361,0.641439,1.2,0,-0.0117596
-3.51939,4.44795,144.371,0.653836,1.2,0,-0.0117596
-3.5127,4.44788,144.381,0.666002,1.2,0,-0.0117596
-3.50601,4.4478,144.391,0.677951,1.2,0,-0.0117596
-3.49932,4.44772,144.401,0.689692,1.2,0,-0.0117596
-3.49263,4.44764,144.411,0.701236,1.2,0,-0.0117596
-3.48594,4.44756,144.42,0.712594,1.2,0,-0.0117596
-3.47924,4.44748,144.429,0.723773,1.2,0,-0.0117596
-3.47255,4.4474,144.438,0.734783,1.2,0,-0.0117596
-3.46586,4.44732,144.448,0.745629,1.2,0,-0.0117596
-3.45917,4.44725,144.456,0.756321,1.2,0,-0.0117596
-3.45248,4.44717,144.465,0.766863,1.2,0,-0.0117596
-3.44579,4.44709,144.474,0.777262,1.2,0,-0.0117596
-3.4391,4.44701,144.482,0.787524,1.2,0,-0.0117596
-3.43241,4.44693,144.491,0.797654,1.2,0,-0.0117596
-3.42572,4.44685,144.499,0.807657,1.2,0,-0.0117596
-3.41903,4.44677,144.507,0.817537,1.2,0,-0.0117596
-3.41234,4.4467,144.516,0.8273,1.2,0,-0.0117596
-3.40565,4.44662,144.524,0.836949,1.2,0,-0.0117596
-3.39896,4.44654,144.532,0.846487,1.2,0,-0.0117596
-3.39227,4.44646,144.539,0.85592,1.2,0,-0.0117596
-3.38558,4.44638,144.547,0.865249,1.2,0,-0.0117596
-3.37889,4.4463,144.555,0.874479,1.2,0,-0.0117596
-3.3722,4.44622,144.563,0.883613,1.2,0,-0.0117596
-3.36551,4.44614,144.57,0.892653,1.2,0,-0.0117596
-3.35882,4.44607,144.578,0.901603,1.2,0,-0.0117596
-3.35213,4.44599,144.585,0.910464,1.2,0,-0.0117596
-3.34544,4.44591,144.592,0.91924,1.2,0,-0.0117596
-3.33875,4.44583,144.599,0.927933,1.2,0,-0.0117596
-3.33206,4.44575,144.607,0.936546,1.2,0,-0.0117596
-3.32537,4.44567,144.614,0.94508,1.2,0,-0.0117596
-3.31868,4.44559,144.621,0.953537,1.2,0,-0.0117596
-3.31199,4.44552,144.628,0.961921,1.2,0,-0.0117596
-3.3053,4.44544,144.635,0.970231,1.2,0,-0.0117596
-3.29861,4.44536,144.642,0.978472,1.2,0,-0.0117596
-3.29192,4.44528,144.648,0.986643,1.2,0,-0.0117596
-3.28523,4.4452,144.655,0.994747,1.2,0,-0.0117596
-3.27854,4.44512,144.662,1.00279,1.2,0,-0.0117596
-3.27185,4.44504,144.669,0.997788,-0.747276,0,-0.0117596
-3.26516,4.44496,144.675,0.989708,-1.2,0,-0.0117596
-3.25847,4.44489,144.682,0.981562,-1.2,0,-0.0117596
-3.25178,4.44481,144.689,0.973348,-1.2,0,-0.0117596
-3.24509,4.44473,144.696,0.965064,-1.2,0,-0.0117596
-3.2384,4.44465,144.703,0.956709,-1.2,0,-0.0117596
-3.23171,4.44457,144.71,0.948279,-1.2,0,-0.0117596
-3.22501,4.44449,144.717,0.939774,-1.2,0,-0.0117596
-3.21832,4.44441,144.724,0.931192,-1.2,0,-0.0117596
-3.21163,4.44433,144.731,0.922529,-1.2,0,-0.0117596
-3.20494,4.44426,144.739,0.913785,-1.2,0,-0.0117596
-3.19825,4.44418,144.746,0.904956,-1.2,0,-0.0117596
-3.19156,4.4441,144.753,0.89604,-1.2,0,-0.0117596
-3.18487,4.44402,144.761,0.887034,-1.2,0,-0.0117596
-3.17818,4.44394,144.768,0.877936,-1.2,0,-0.0117596
-3.17149,4.44386,144.776,0.868743,-1.2,0,-0.0117596
-3.1648,4.44378,144.784,0.859451,-1.2,0,-0.0117596
-3.15811,4.44371,144.792,0.850058,-1.2,0,-0.0117596
-3.15142,4.44363,144.8,0.84056,-1.2,0,-0.0117596
-3.14473,4.44355,144.808,0.830953,-1.2,0,-0.0117596
-3.13804,4.44347,144.816,0.821234,-1.2,0,-0.0117596
-3.13135,4.44339,144.824,0.811398,-1.2,0,-0.0117596
-3.12466,4.44331,144.832,0.801442,-1.2,0,-0.0117596
-3.11797,4.44323,144.841,0.791361,-1.2,0,-0.0117596
-3.11128,4.44315,144.849,0.781149,-1.2,0,-0.0117596
-3.10459,4.44308,144.858,0.770802,-1.2,0,-0.0117596
-3.0979,4.443,144.866,0.760315,-1.2,0,-0.0117596
-3.09121,4.44292,144.875,0.749681,-1.2,0,-0.0117596
-3.08452,4.44284,144.884,0.738893,-1.2,0,-0.0117596
-3.07783,4.44276,144.893,0.727946,-1.2,0,-0.0117596
-3.07114,4.44268,144.903,0.716832,-1.2,0,-0.0117596
-3.06445,4.4426,144.912,0.705542,-1.2,0,-0.0117596
-3.05776,4.44253,144.922,0.694069,-1.2,0,-0.0117596
-3.05107,4.44245,144.931,0.682403,-1.2,0,-0.0117596
-3.04438,4.44237,144.941,0.670535,-1.2,0,-0.0117596
-3.03769,4.44229,144.951,0.658452,-1.2,0,-0.0117596
-3.031,4.44221,144.962,0.646143,-1.2,0,-0.0117596
-3.02431,4.44213,144.972,0.633596,-1.2,0,-0.0117596
-3.01762,4.44205,144.983,0.620794,-1.2,0,-0.0117596
-3.01093,4.44197,144.994,0.607724,-1.2,0,-0.0117596
-3.00424,4.4419,145.005,0.594365,-1.2,0,-0.0117596
-2.99755,4.44182,145.016,0.5807,-1.2,0,-0.0117596
-2.99086,4.44174,145.028,0.566705,-1.2,0,-0.0117596
-2.98417,4.44166,145.04,0.552356,-1.2,0,-0.0117596
-2.97748,4.44158,145.052,0.537624,-1.2,0,-0.0117596
-2.97078,4.4415,145.065,0.522476,-1.2,0,-0.0117596
-2.96409,4.44142,145.078,0.506877,-1.2,0,-0.0117596
-2.9574,4.44135,145.091,0.490781,-1.2,0,-0.0117596
-2.95071,4.44127,145.105,0.47414,-1.2,0,-0.0117596
-2.94402,4.44119,145.119,0.456892,-1.2,0,-0.0117596
