Trajectory info:
Feasible path start time since start: 146.458
Feasbile path start time from now:  0.870661
fpg planner time start 147.6
fpg planner time end 165.256
planner index start 140
planner index finish 2863
time planner start:147.6
time planner finish:165
Final Time Difference: 0.25566
---
x_out,y_out,time,velocity,acceleration,yaw_velocity,yaw_angle
-3.69333,-3.8,146.458,0.1,0,0,-0.115523
-3.68659,-3.80078,146.51,0.162165,1.2,0,-0.115523
-3.67984,-3.80157,146.547,0.206385,1.2,0,-0.115523
-3.6731,-3.80235,146.577,0.242677,1.2,0,-0.115523
-3.66635,-3.80313,146.603,0.274208,1.2,0,-0.115523
-3.65961,-3.80391,146.627,0.302469,1.2,0,-0.115523
-3.65286,-3.8047,146.648,0.328306,1.2,0,-0.115523
-3.64612,-3.80548,146.668,0.352253,1.2,0,-0.115523
-3.63937,-3.80626,146.687,0.374673,1.2,0,-0.115523
-3.63263,-3.80704,146.704,0.395824,1.2,0,-0.115523
-3.62588,-3.80783,146.721,0.415902,1.2,0,-0.115523
-3.61913,-3.80861,146.737,0.435054,1.2,0,-0.115523
-3.61239,-3.80939,146.752,0.453398,1.2,0,-0.115523
-3.60564,-3.81018,146.767,0.471027,1.2,0,-0.115523
-3.5989,-3.81096,146.781,0.488021,1.2,0,-0.115523
-3.59215,-3.81174,146.795,0.504442,1.2,0,-0.115523
-3.58541,-3.81252,146.808,0.520345,1.2,0,-0.115523
-3.57866,-3.81331,146.821,0.535777,1.2,0,-0.115523
-3.57192,-3.81409,146.834,0.550776,1.2,0,-0.115523
-3.56517,-3.81487,146.846,0.565377,1.2,0,-0.115523
-3.55843,-3.81565,146.858,0.579611,1.2,0,-0.115523
-3.55168,-3.81644,146.869,0.593503,1.2,0,-0.115523
-3.54494,-3.81722,146.881,0.607078,1.2,0,-0.115523
-3.53819,-3.818,146.892,0.620356,1.2,0,-0.115523
-3.53145,-3.81879,146.902,0.633355,1.2,0,-0.115523
-3.5247,-3.81957,146.913,0.646093,1.2,0,-0.115523
-3.51795,-3.82035,146.923,0.658584,1.2,0,-0.115523
-3.51121,-3.82113,146.934,0.670843,1.2,0,-0.115523
-3.50446,-3.82192,146.944,0.682882,1.2,0,-0.115523
-3.49772,-3.8227,146.954,0.694713,1.2,0,-0.115523
-3.49097,-3.82348,146.963,0.706345,1.2,0,-0.115523
-3.48423,-3.82426,146.973,0.717789,1.2,0,-0.115523
-3.47748,-3.82505,146.982,0.729053,1.2,0,-0.115523
-3.47074,-3.82583,146.991,0.740146,1.2,0,-0.115523
-3.46399,-3.82661,147,0.751074,1.2,0,-0.115523
-3.45725,-3.8274,147.009,0.761847,1.2,0,-0.115523
-3.4505,-3.82818,147.018,0.772469,1.2,0,-0.115523
-3.44376,-3.82896,147.027,0.782947,1.2,0,-0.115523
-3.43701,-3.82974,147.036,0.793286,1.2,0,-0.115523
-3.43027,-3.83053,147.044,0.803492,1.2,0,-0.115523
-3.42352,-3.83131,147.053,0.813571,1.2,0,-0.115523
-3.41677,-3.83209,147.061,0.823526,1.2,0,-0.115523
-3.41003,-3.83287,147.069,0.833362,1.2,0,-0.115523
-3.40328,-3.83366,147.077,0.843084,1.2,0,-0.115523
-3.39654,-3.83444,147.085,0.852694,1.2,0,-0.115523
-3.38979,-3.83522,147.093,0.862198,1.2,0,-0.115523
-3.38305,-3.83601,147.101,0.871598,1.2,0,-0.115523
-3.3763,-3.83679,147.109,0.880897,1.2,0,-0.115523
-3.36956,-3.83757,147.116,0.8901,1.2,0,-0.115523
-3.36281,-3.83835,147.124,0.899208,1.2,0,-0.115523
-3.35607,-3.83914,147.131,0.908225,1.2,0,-0.115523
-3.34932,-3.83992,147.139,0.917153,1.2,0,-0.115523
-3.34258,-3.8407,147.146,0.925995,1.2,0,-0.115523
-3.33583,-3.84148,147.154,0.934754,1.2,0,-0.115523
-3.32909,-3.84227,147.161,0.943431,1.2,0,-0.115523
-3.32234,-3.84305,147.168,0.952029,1.2,0,-0.115523
-3.31559,-3.84383,147.175,0.96055,1.2,0,-0.115523
-3.30885,-3.84462,147.182,0.968997,1.2,0,-0.115523
-3.3021,-3.8454,147.189,0.97737,1.2,0,-0.115523
-3.29536,-3.84618,147.196,0.985672,1.2,0,-0.115523
-3.28861,-3.84696,147.203,0.993905,1.2,0,-0.115523
-3.28187,-3.84775,147.21,1.00207,1.2,0,-0.115523
-3.27512,-3.84853,147.216,1.01017,1.20001,0,-0.115523
-3.26838,-3.84931,147.223,1.0182,1.2,0,-0.114065
-3.26175,-3.85007,147.23,1.02603,1.19999,0,-0.113745
