Trajectory info:
Feasible path start time since start: 143.309
Feasbile path start time from now:  -2.31287
fpg planner time start 147
fpg planner time end 166.071
planner index start 126
planner index finish 2929
time planner start:147
time planner finish:168.3
Final Time Difference: -2.22933
---
x_out,y_out,time,velocity,acceleration,yaw_velocity,yaw_angle
-3.69333,4.45,143.309,0.1,0,0,-0.0117596
-3.68664,4.44992,143.361,0.161424,1.2,0,-0.0117596
-3.67995,4.44984,143.397,0.205221,1.2,0,-0.0117596
-3.67326,4.44976,143.427,0.241191,1.2,0,-0.0117596
-3.66657,4.44969,143.453,0.272454,1.2,0,-0.0117596
-3.65988,4.44961,143.477,0.300481,1.2,0,-0.0117596
-3.65319,4.44953,143.498,0.326108,1.2,0,-0.0117596
-3.6465,4.44945,143.518,0.349863,1.2,0,-0.0117596
-3.63981,4.44937,143.536,0.372105,1.2,0,-0.0117596
-3.63312,4.44929,143.554,0.39309,1.2,0,-0.0117596
-3.62643,4.44921,143.57,0.41301,1.2,0,-0.0117596
-3.61974,4.44913,143.586,0.432013,1.2,0,-0.0117596
-3.61305,4.44906,143.601,0.450214,1.2,0,-0.0117596
-3.60636,4.44898,143.616,0.467708,1.2,0,-0.0117596
-3.59967,4.4489,143.63,0.48457,1.2,0,-0.0117596
-3.59298,4.44882,143.644,0.500865,1.2,0,-0.0117596
-3.58629,4.44874,143.657,0.516647,1.2,0,-0.0117596
-3.5796,4.44866,143.669,0.53196,1.2,0,-0.0117596
-3.57291,4.44858,143.682,0.546845,1.2,0,-0.0117596
-3.56622,4.4485,143.694,0.561335,1.2,0,-0.0117596
-3.55953,4.44843,143.706,0.575461,1.2,0,-0.0117596
-3.55284,4.44835,143.717,0.589248,1.2,0,-0.0117596
-3.54615,4.44827,143.728,0.602719,1.2,0,-0.0117596
-3.53946,4.44819,143.739,0.615896,1.2,0,-0.0117596
-3.53277,4.44811,143.75,0.628797,1.2,0,-0.0117596
-3.52608,4.44803,143.761,0.641439,1.2,0,-0.0117596
-3.51939,4.44795,143.771,0.653836,1.2,0,-0.0117596
-3.5127,4.44788,143.781,0.666002,1.2,0,-0.0117596
-3.50601,4.4478,143.791,0.677951,1.2,0,-0.0117596
-3.49932,4.44772,143.801,0.689692,1.2,0,-0.0117596
-3.49263,4.44764,143.811,0.701236,1.2,0,-0.0117596
-3.48594,4.44756,143.82,0.712594,1.2,0,-0.0117596
-3.47924,4.44748,143.829,0.723773,1.2,0,-0.0117596
-3.47255,4.4474,143.838,0.734783,1.2,0,-0.0117596
-3.46586,4.44732,143.848,0.745629,1.2,0,-0.0117596
-3.45917,4.44725,143.856,0.756321,1.2,0,-0.0117596
-3.45248,4.44717,143.865,0.766863,1.2,0,-0.0117596
-3.44579,4.44709,143.874,0.777262,1.2,0,-0.0117596
-3.4391,4.44701,143.882,0.787524,1.2,0,-0.0117596
-3.43241,4.44693,143.891,0.797654,1.2,0,-0.0117596
-3.42572,4.44685,143.899,0.807657,1.2,0,-0.0117596
-3.41903,4.44677,143.907,0.817537,1.2,0,-0.0117596
-3.41234,4.4467,143.916,0.8273,1.2,0,-0.0117596
-3.40565,4.44662,143.924,0.836949,1.2,0,-0.0117596
-3.39896,4.44654,143.932,0.846487,1.2,0,-0.0117596
-3.39227,4.44646,143.939,0.85592,1.2,0,-0.0117596
-3.38558,4.44638,143.947,0.865249,1.2,0,-0.0117596
-3.37889,4.4463,143.955,0.874479,1.2,0,-0.0117596
-3.3722,4.44622,143.963,0.883613,1.2,0,-0.0117596
-3.36551,4.44614,143.97,0.892653,1.2,0,-0.0117596
-3.35882,4.44607,143.978,0.901603,1.2,0,-0.0117596
