Trajectory info:
Feasible path start time since start: 145.71
Feasbile path start time from now:  -1.06385
fpg planner time start 148.2
fpg planner time end 167.257
planner index start 126
planner index finish 2929
time planner start:148.2
time planner finish:168.3
Final Time Difference: -1.04315
---
x_out,y_out,time,velocity,acceleration,yaw_velocity,yaw_angle
-3.69333,4.45,145.71,0.1,0,0,-0.0117596
-3.68664,4.44992,145.761,0.161424,1.2,0,-0.0117596
-3.67995,4.44984,145.797,0.205221,1.2,0,-0.0117596
-3.67326,4.44976,145.827,0.241191,1.2,0,-0.0117596
-3.66657,4.44969,145.853,0.272454,1.2,0,-0.0117596
-3.65988,4.44961,145.877,0.300481,1.2,0,-0.0117596
-3.65319,4.44953,145.898,0.326108,1.2,0,-0.0117596
-3.6465,4.44945,145.918,0.349863,1.2,0,-0.0117596
-3.63981,4.44937,145.936,0.372105,1.2,0,-0.0117596
-3.63312,4.44929,145.954,0.39309,1.2,0,-0.0117596
-3.62643,4.44921,145.97,0.41301,1.2,0,-0.0117596
-3.61974,4.44913,145.986,0.432013,1.2,0,-0.0117596
-3.61305,4.44906,146.001,0.450214,1.2,0,-0.0117596
-3.60636,4.44898,146.016,0.467708,1.2,0,-0.0117596
-3.59967,4.4489,146.03,0.48457,1.2,0,-0.0117596
-3.59298,4.44882,146.044,0.500865,1.2,0,-0.0117596
-3.58629,4.44874,146.057,0.516647,1.2,0,-0.0117596
-3.5796,4.44866,146.069,0.53196,1.2,0,-0.0117596
-3.57291,4.44858,146.082,0.546845,1.2,0,-0.0117596
-3.56622,4.4485,146.094,0.561335,1.2,0,-0.0117596
-3.55953,4.44843,146.106,0.575461,1.2,0,-0.0117596
-3.55284,4.44835,146.117,0.589248,1.2,0,-0.0117596
-3.54615,4.44827,146.128,0.602719,1.2,0,-0.0117596
-3.53946,4.44819,146.139,0.615896,1.2,0,-0.0117596
-3.53277,4.44811,146.15,0.628797,1.2,0,-0.0117596
-3.52608,4.44803,146.161,0.641439,1.2,0,-0.0117596
-3.51939,4.44795,146.171,0.653836,1.2,0,-0.0117596
-3.5127,4.44788,146.181,0.666002,1.2,0,-0.0117596
-3.50601,4.4478,146.191,0.677951,1.2,0,-0.0117596
-3.49932,4.44772,146.201,0.689692,1.2,0,-0.0117596
-3.49263,4.44764,146.211,0.701236,1.2,0,-0.0117596
-3.48594,4.44756,146.22,0.712594,1.2,0,-0.0117596
-3.47924,4.44748,146.229,0.723773,1.2,0,-0.0117596
-3.47255,4.4474,146.238,0.734783,1.2,0,-0.0117596
-3.46586,4.44732,146.248,0.745629,1.2,0,-0.0117596
-3.45917,4.44725,146.256,0.756321,1.2,0,-0.0117596
-3.45248,4.44717,146.265,0.766863,1.2,0,-0.0117596
-3.44579,4.44709,146.274,0.777262,1.2,0,-0.0117596
-3.4391,4.44701,146.282,0.787524,1.2,0,-0.0117596
-3.43241,4.44693,146.291,0.797654,1.2,0,-0.0117596
-3.42572,4.44685,146.299,0.807657,1.2,0,-0.0117596
-3.41903,4.44677,146.307,0.817537,1.2,0,-0.0117596
-3.41234,4.4467,146.316,0.8273,1.2,0,-0.0117596
-3.40565,4.44662,146.324,0.836949,1.2,0,-0.0117596
-3.39896,4.44654,146.332,0.846487,1.2,0,-0.0117596
-3.39227,4.44646,146.339,0.85592,1.2,0,-0.0117596
-3.38558,4.44638,146.347,0.865249,1.2,0,-0.0117596
-3.37889,4.4463,146.355,0.874479,1.2,0,-0.0117596
-3.3722,4.44622,146.363,0.883613,1.2,0,-0.0117596
-3.36551,4.44614,146.37,0.892653,1.2,0,-0.0117596
-3.35882,4.44607,146.378,0.901603,1.2,0,-0.0117596
-3.35213,4.44599,146.385,0.910464,1.2,0,-0.0117596
-3.34544,4.44591,146.392,0.91924,1.2,0,-0.0117596
-3.33875,4.44583,146.399,0.927933,1.2,0,-0.0117596
-3.33206,4.44575,146.407,0.936546,1.2,0,-0.0117596
-3.32537,4.44567,146.414,0.94508,1.2,0,-0.0117596
-3.31868,4.44559,146.421,0.953537,1.2,0,-0.0117596
