Trajectory info:
Feasible path start time since start: 31.117
Feasbile path start time from now:  3.48075
fpg planner time start 32.4
fpg planner time end 45.253
planner index start 134
planner index finish 2099
time planner start:32.4
time planner finish:45
Final Time Difference: 0.252971
---
x_out,y_out,time,velocity,acceleration,yaw_velocity,yaw_angle
-0.0933333,1.3,31.117,0.1,0,0,-0.00114777
-0.0864785,1.29999,31.1692,0.16264,1.2,0,-0.00114777
-0.0796237,1.29998,31.2063,0.207131,1.2,0,-0.00114777
-0.0727688,1.29998,31.2367,0.243629,1.2,0,-0.00114777
-0.065914,1.29997,31.2631,0.27533,1.2,0,-0.00114777
-0.0590591,1.29996,31.2868,0.30374,1.2,0,-0.00114777
-0.0522043,1.29995,31.3084,0.329712,1.2,0,-0.00114777
-0.0453495,1.29994,31.3285,0.353782,1.2,0,-0.00114777
-0.0384946,1.29994,31.3473,0.376315,1.2,0,-0.00114777
-0.0316398,1.29993,31.365,0.397573,1.2,0,-0.00114777
-0.0247849,1.29992,31.3818,0.417751,1.2,0,-0.00114777
-0.0179301,1.29991,31.3978,0.436999,1.2,0,-0.00114777
-0.0110753,1.29991,31.4132,0.455433,1.2,0,-0.00114777
-0.00422043,1.2999,31.428,0.47315,1.2,0,-0.00114777
0.00263441,1.29989,31.4422,0.490227,1.2,0,-0.00114777
0.00948925,1.29988,31.4559,0.506729,1.2,0,-0.00114777
0.0163441,1.29987,31.4693,0.52271,1.2,0,-0.00114777
0.0231989,1.29987,31.4822,0.538217,1.2,0,-0.00114777
0.0300538,1.29986,31.4947,0.553289,1.2,0,-0.00114777
0.0369086,1.29985,31.507,0.567962,1.2,0,-0.00114777
0.0437634,1.29984,31.5189,0.582265,1.2,0,-0.00114777
0.0506183,1.29983,31.5305,0.596225,1.2,0,-0.00114777
0.0574731,1.29983,31.5419,0.609865,1.2,0,-0.00114777
0.064328,1.29982,31.553,0.623207,1.2,0,-0.00114777
0.0711828,1.29981,31.5639,0.63627,1.2,0,-0.00114777
0.0780376,1.2998,31.5746,0.649069,1.2,0,-0.00114777
0.0848925,1.2998,31.585,0.661621,1.2,0,-0.00114777
0.0917473,1.29979,31.5953,0.673939,1.2,0,-0.00114777
0.0986022,1.29978,31.6054,0.686036,1.2,0,-0.00114777
0.105457,1.29977,31.6153,0.697923,1.2,0,-0.00114777
0.112312,1.29976,31.625,0.709612,1.2,0,-0.00114777
0.119167,1.29976,31.6346,0.721111,1.2,0,-0.00114777
0.126022,1.29975,31.644,0.732429,1.2,0,-0.00114778
0.132876,1.29974,31.6533,0.743575,1.2,0,-0.00114778
0.139731,1.29973,31.6625,0.754556,1.2,0,-0.00114778
0.146586,1.29972,31.6715,0.76538,1.2,0,-0.00114778
0.153441,1.29972,31.6804,0.776053,1.2,0,-0.00114778
0.160296,1.29971,31.6891,0.786581,1.2,0,-0.00114778
0.167151,1.2997,31.6978,0.79697,1.2,0,-0.00114778
0.174005,1.29969,31.7064,0.807226,1.2,0,-0.00114778
0.18086,1.29969,31.7148,0.817352,1.2,0,-0.00114778
0.187715,1.29968,31.7231,0.827355,1.2,0,-0.00114778
0.19457,1.29967,31.7314,0.837238,1.2,0,-0.00114778
0.201425,1.29966,31.7395,0.847006,1.2,0,-0.00114778
0.20828,1.29965,31.7475,0.856663,1.2,0,-0.00114778
0.215134,1.29965,31.7555,0.866212,1.2,0,-0.00114778
0.221989,1.29964,31.7634,0.875657,1.2,0,-0.00114778
0.228844,1.29963,31.7712,0.885001,1.2,0,-0.00114778
0.235699,1.29962,31.7789,0.894247,1.2,0,-0.00114778
0.242554,1.29961,31.7865,0.903399,1.2,0,-0.00114778
0.249408,1.29961,31.794,0.912459,1.2,0,-0.00114777
0.256263,1.2996,31.8015,0.92143,1.2,0,-0.00114778
0.263118,1.29959,31.8089,0.930314,1.2,0,-0.00114778
0.269973,1.29958,31.8163,0.939114,1.2,0,-0.00114778
0.276828,1.29958,31.8235,0.947833,1.2,0,-0.00114778
0.283683,1.29957,31.8307,0.956472,1.2,0,-0.00114778
0.290538,1.29956,31.8379,0.965034,1.2,0,-0.00114778
0.297392,1.29955,31.8449,0.973521,1.2,0,-0.00114778
0.304247,1.29954,31.8519,0.981934,1.2,0,-0.00114778
0.311102,1.29954,31.8589,0.990276,1.2,0,-0.00114778
0.317957,1.29953,31.8658,0.998548,1.2,0,-0.00114778
0.324812,1.29952,31.8727,0.99282,-0.831922,0,-0.00114778
0.331666,1.29951,31.8796,0.9845,-1.2,0,-0.00123379
0.338333,1.2995,31.8864,0.97634,-1.2,-0,-0.00116766
0.343744,1.2995,31.892,0.969671,-1.19922,-0.0371876,-0.00136595
0.349155,1.29949,31.8976,0.962969,-1.19696,-0.0738612,-0.00178454
0.354566,1.29948,31.9032,0.95624,-1.19334,-0.110018,-0.00242345
0.359977,1.29947,31.9089,0.949491,-1.18847,-0.145655,-0.00323862
0.365388,1.29945,31.9146,0.942729,-1.18245,-0.180772,-0.00427411
0.370798,1.29943,31.9204,0.935958,-1.17537,-0.215368,-0.00552989
0.376209,1.2994,31.9262,0.929185,-1.16732,-0.249445,-0.006984
0.38162,1.29936,31.932,0.922415,-1.1584,-0.283003,-0.00863643
0.387031,1.29931,31.9379,0.915652,-1.14866,-0.316044,-0.0104871
0.392441,1.29926,31.9438,0.908901,-1.13818,-0.348571,-0.0125802
0.397852,1.29919,31.9498,0.902167,-1.12704,-0.380587,-0.0148717
0.403262,1.29911,31.9558,0.895453,-1.11531,-0.412096,-0.0173616
0.408672,1.29901,31.9619,0.888763,-1.10303,-0.443101,-0.02005
0.414082,1.2989,31.968,0.8821,-1.09027,-0.473609,-0.0229366
0.419491,1.29878,31.9742,0.875468,-1.07707,-0.503623,-0.0260662
0.4249,1.29864,31.9804,0.86887,-1.06348,-0.533149,-0.0293941
0.430309,1.29848,31.9866,0.862309,-1.04956,-0.562194,-0.0329208
0.435717,1.2983,31.9929,0.855788,-1.03535,-0.590762,-0.0366465
0.441124,1.2981,31.9993,0.849309,-1.02088,-0.618861,-0.0405929
0.446531,1.29788,32.0057,0.842874,-1.00619,-0.646497,-0.0447388
0.451936,1.29764,32.0121,0.836486,-0.991326,-0.673678,-0.0491057
0.45734,1.29738,32.0186,0.830147,-0.976303,-0.700409,-0.0536721
0.462744,1.29709,32.0251,0.823858,-0.961168,-0.726699,-0.0584385
0.468145,1.29677,32.0317,0.817622,-0.945945,-0.752554,-0.0634268
0.473545,1.29643,32.0384,0.811439,-0.930658,-0.777983,-0.0685935
0.478943,1.29606,32.0451,0.805313,-0.915337,-0.802993,-0.0740054
0.484339,1.29566,32.0518,0.799243,-0.899988,-0.827592,-0.0796178
0.489733,1.29523,32.0586,0.793231,-0.88465,-0.851788,-0.085409
0.495124,1.29476,32.0654,0.787279,-0.869334,-0.875589,-0.0914258
0.500513,1.29427,32.0723,0.781387,-0.854057,-0.899003,-0.0976661
0.505898,1.29374,32.0793,0.775556,-0.838837,-0.922038,-0.104088
0.511279,1.29318,32.0863,0.769788,-0.823688,-0.944703,-0.110735
0.516657,1.29258,32.0934,0.764083,-0.808611,-0.967005,-0.117589
0.52203,1.29195,32.1005,0.758442,-0.793642,-0.988952,-0.124624
0.527399,1.29128,32.1076,0.752866,-0.77877,-1.01055,-0.131909
0.532763,1.29056,32.1148,0.747355,-0.764004,-1.03182,-0.139361
0.538122,1.28981,32.1221,0.74191,-0.749365,-1.05275,-0.147038
0.543474,1.28902,32.1294,0.736531,-0.734851,-1.07337,-0.154949
0.54882,1.28818,32.1368,0.731219,-0.720459,-1.09367,-0.163026
0.554159,1.28731,32.1442,0.725974,-0.706207,-1.11367,-0.171317
0.559491,1.28638,32.1517,0.720798,-0.692086,-1.13337,-0.179842
0.564815,1.28542,32.1592,0.715689,-0.678097,-1.15278,-0.188536
0.57013,1.2844,32.1668,0.710649,-0.664245,-1.17192,-0.197473
0.575435,1.28334,32.1745,0.705679,-0.650521,-1.19079,-0.206601
0.580731,1.28223,32.1822,0.700778,-0.636922,-1.20939,-0.215952
0.586016,1.28107,32.1899,0.695948,-0.623445,-1.22775,-0.225482
0.59129,1.27986,32.1977,0.691188,-0.610077,-1.24586,-0.235235
0.596552,1.2786,32.2056,0.686501,-0.596807,-1.26373,-0.245192
0.601801,1.27729,32.2135,0.681885,-0.583627,-1.28139,-0.255377
0.607036,1.27592,32.2214,0.677343,-0.570514,-1.29883,-0.265734
0.612257,1.2745,32.2294,0.672875,-0.557455,-1.31607,-0.276342
0.617463,1.27302,32.2375,0.668483,-0.544416,-1.33311,-0.287121
0.622652,1.27149,32.2456,0.664168,-0.531376,-1.34998,-0.298096
0.627824,1.2699,32.2538,0.659932,-0.518294,-1.36668,-0.309318
0.632978,1.26825,32.262,0.655777,-0.505135,-1.38322,-0.320744
0.638113,1.26655,32.2703,0.651706,-0.491833,-1.39963,-0.332347
0.643228,1.26478,32.2786,0.647723,-0.478328,-1.41592,-0.344186
0.648322,1.26296,32.287,0.64383,-0.464548,-1.4321,-0.356227
0.653393,1.26107,32.2954,0.640034,-0.450373,-1.4482,-0.36845
0.658441,1.25912,32.3039,0.63634,-0.435689,-1.46425,-0.380928
0.663464,1.25711,32.3125,0.632756,-0.420331,-1.48027,-0.393557
0.668461,1.25503,32.321,0.629291,-0.404062,-1.49629,-0.406431
0.673431,1.2529,32.3296,0.625958,-0.386597,-1.51238,-0.419517
0.678373,1.25069,32.3383,0.622773,-0.367506,-1.52857,-0.432808
0.683284,1.24842,32.347,0.619758,-0.346182,-1.54493,-0.446257
0.688165,1.24609,32.3558,0.616944,-0.32166,-1.56158,-0.459982
0.693014,1.24368,32.3646,0.614374,-0.292334,-1.57864,-0.47388
0.697828,1.24122,32.3734,0.612124,-0.255059,-1.59633,-0.487991
0.702608,1.23868,32.3822,0.610336,-0.201948,-1.61507,-0.502309
0.70735,1.23607,32.3911,0.610329,-0.000826956,-1.63846,-0.516829
0.712054,1.2334,32.4,0.606016,-0.484817,-1.65012,-0.531493
0.716719,1.23066,32.4089,0.606024,0.000927946,-1.6269,-0.546036
0.721343,1.22785,32.4178,0.607811,0.200502,-1.60839,-0.560331
0.725926,1.22497,32.4267,0.610056,0.252571,-1.59093,-0.574449
0.730469,1.22203,32.4356,0.612614,0.289035,-1.57411,-0.588351
0.73497,1.21903,32.4444,0.615413,0.317673,-1.5577,-0.602057
0.739429,1.21596,32.4532,0.618409,0.341579,-1.54157,-0.61554
0.743847,1.21284,32.4619,0.621572,0.362353,-1.52562,-0.628814
0.748223,1.20966,32.4706,0.624879,0.380921,-1.50977,-0.641904
0.752557,1.20642,32.4792,0.628315,0.397914,-1.49397,-0.654749
0.756848,1.20312,32.4878,0.631868,0.413727,-1.47819,-0.667423
0.761098,1.19977,32.4963,0.635528,0.428667,-1.46238,-0.679868
0.765306,1.19637,32.5048,0.639288,0.442938,-1.44651,-0.692111
0.769472,1.19292,32.5133,0.643142,0.456723,-1.43057,-0.704143
0.773596,1.18942,32.5216,0.647085,0.470137,-1.41452,-0.715979
0.777678,1.18587,32.53,0.651114,0.483278,-1.39836,-0.727585
0.781719,1.18227,32.5383,0.655225,0.496237,-1.38206,-0.73902
0.785718,1.17862,32.5465,0.659415,0.509066,-1.36561,-0.750206
0.789676,1.17493,32.5547,0.663683,0.521821,-1.349,-0.76121
0.793594,1.1712,32.5628,0.668027,0.534546,-1.33221,-0.772016
0.797471,1.16743,32.5709,0.672445,0.547274,-1.31523,-0.782571
0.801308,1.16361,32.5789,0.676936,0.560032,-1.29805,-0.792969
0.805105,1.15976,32.5869,0.6815,0.572855,-1.28067,-0.803128
0.808862,1.15586,32.5948,0.686135,0.585752,-1.26306,-0.813092
0.812581,1.15193,32.6026,0.69084,0.598737,-1.24523,-0.822843
0.816261,1.14797,32.6104,0.695616,0.611836,-1.22716,-0.832385
0.819903,1.14396,32.6182,0.700461,0.625049,-1.20884,-0.841744
0.823508,1.13993,32.6259,0.705375,0.63839,-1.19027,-0.850851
0.827075,1.13586,32.6335,0.710358,0.651866,-1.17144,-0.85977
0.830607,1.13176,32.6411,0.715409,0.66548,-1.15233,-0.868504
0.834102,1.12763,32.6487,0.720528,0.679232,-1.13294,-0.877011
0.837562,1.12347,32.6561,0.725714,0.69312,-1.11327,-0.885299
0.840987,1.11928,32.6636,0.730968,0.707156,-1.09329,-0.893396
0.844379,1.11507,32.6709,0.736288,0.721338,-1.07301,-0.901282
0.847737,1.11082,32.6783,0.741675,0.735659,-1.05242,-0.908955
0.851062,1.10655,32.6855,0.747127,0.750109,-1.0315,-0.916438
0.854355,1.10226,32.6928,0.752645,0.764692,-1.01026,-0.9237
0.857617,1.09794,32.6999,0.758227,0.779399,-0.988672,-0.930745
0.860849,1.0936,32.707,0.763874,0.794215,-0.966739,-0.937602
0.864051,1.08924,32.7141,0.769584,0.809148,-0.944452,-0.944234
